ts_code,stock_name,trade_date,open,high,low,close,vol,sum,diff,chg,pft,diff_5d,diff_20d
600887.SH,伊利股份,2025/4/23,2494.9663,2503.5489,2480.3759,2488.9585,23919468,693847869,0.242,0.3776,15.4915,-0.47336,0.118565
600887.SH,伊利股份,2025/4/24,2490.675,2512.9898,2482.9506,2500.9741,21921153,638896402,0.4828,0.3461,15.5663,-0.36334,0.160325
600887.SH,伊利股份,2025/4/25,2494.9663,2515.5646,2480.3759,2486.3837,22729301,660325460,-0.5834,0.3588,15.4755,-0.43286,0.10817
600887.SH,伊利股份,2025/4/28,2478.6593,2485.5254,2442.6123,2454.628,30573604,876864392,-1.2772,0.4827,15.2778,-0.33032,0.07775
600887.SH,伊利股份,2025/4/29,2452.9115,2476.0845,2442.6123,2470.935,23217115,666614507,0.6643,0.3665,15.3793,-0.0943,0.13577
600887.SH,伊利股份,2025/4/30,2536.1629,2590.2333,2519.8559,2554.1863,105481140,3149928154,3.3692,1.6652,25.5869,0.53114,0.30601
600887.SH,伊利股份,2025/5/6,2567.9185,2568.7768,2527.5802,2549.0368,46352076,1375445684,-0.2016,0.7317,25.5353,0.39426,0.3369
600887.SH,伊利股份,2025/5/7,2609.1151,2611.6899,2529.2968,2538.7376,40363670,1199413927,-0.404,0.6372,25.4321,0.43014,0.23588
600887.SH,伊利股份,2025/5/8,2533.5881,2557.6194,2529.2968,2535.3046,22767462,674475467,-0.1352,0.3594,25.3977,0.65854,0.35284
600887.SH,伊利股份,2025/5/9,2535.3046,2554.1863,2531.8715,2533.5881,22965330,679972792,-0.0677,0.3625,25.3806,0.51214,0.14286
600887.SH,伊利股份,2025/5/12,2535.3046,2565.3437,2514.7063,2561.0524,33422174,992693155,1.084,0.5276,25.6557,0.0551,0.057835
600887.SH,伊利股份,2025/5/13,2561.0524,2572.2098,2548.1785,2553.3281,30508173,910594922,-0.3016,0.4816,25.5783,0.0351,0.017355
600887.SH,伊利股份,2025/5/14,2547.3203,2580.7925,2533.5881,2570.4933,34926769,1041839567,0.6723,0.5514,25.7503,0.25036,0.12341
600887.SH,伊利股份,2025/5/15,2564.4855,2593.6664,2548.1785,2580.7925,37762245,1131904026,0.4007,0.5961,25.8534,0.35754,0.13319
600887.SH,伊利股份,2025/5/16,2574.7846,2584.2255,2539.5959,2573.9264,35464604,1057207202,-0.266,0.5599,25.7846,0.31788,0.10795
600887.SH,伊利股份,2025/5/19,2566.202,2591.0916,2556.7611,2569.6351,22449369,672202618,-0.1667,0.3544,25.7417,0.06774,0.045155
600887.SH,伊利股份,2025/5/20,2572.2098,2648.5951,2564.4855,2626.2803,50070534,1526800242,2.2044,0.7955,26.1416,0.56894,0.15874
600887.SH,伊利股份,2025/5/21,2621.989,2655.4612,2600.5325,2609.1151,27972857,853439564,-0.6536,0.4444,25.9707,0.30376,0.13785
600887.SH,伊利股份,2025/5/22,2604.8238,2634.8629,2597.9577,2622.8473,26471414,807401016,0.5263,0.4206,26.1074,0.32888,0.25366
600887.SH,伊利股份,2025/5/23,2622.8473,2668.3351,2622.8473,2626.2803,38719633,1194521713,0.1309,0.6152,26.1416,0.40826,0.285995
600887.SH,伊利股份,2025/5/26,2627.9968,2667.4769,2618.556,2641.729,33362338,1027525022,0.5882,0.5301,26.2953,0.55924,0.303305
600887.SH,伊利股份,2025/5/27,2643.4455,2658.8943,2628.8551,2628.8551,27533604,846737322,-0.4873,0.4375,26.1672,0.0209,0.2548
600887.SH,伊利股份,2025/5/28,2630.5716,2666.6186,2622.8473,2658.8943,28608032,884903079,1.1427,0.4545,26.4662,0.38016,0.341105
600887.SH,伊利股份,2025/5/29,2658.8943,2670.9099,2605.682,2609.9733,34504589,1056179342,-1.8399,0.5482,25.9792,-0.09308,0.31297
600887.SH,伊利股份,2025/5/30,2609.9733,2630.5716,2595.3829,2600.5325,27335704,831558512,-0.3617,0.4343,25.8853,-0.1916,0.26167
600887.SH,伊利股份,2025/6/3,2575.6429,2631.4299,2573.0681,2623.7055,34246181,1041526254,0.8911,0.5441,26.1159,-0.13102,0.137765
600887.SH,伊利股份,2025/6/4,2621.989,2636.5795,2614.2647,2625.4221,21648998,662105513,0.0654,0.344,26.133,-0.02048,0.151115
600887.SH,伊利股份,2025/6/5,2629.7134,2644.3038,2587.6585,2591.9499,34289601,1042943935,-1.2749,0.5448,25.7998,-0.504,0.10757
600887.SH,伊利股份,2025/6/6,2600.8938,2602.6826,2557.9629,2563.3293,42928303,1237523224,-1.1042,0.6821,24.4842,-0.35686,0.05912
600887.SH,伊利股份,2025/6/9,2572.2732,2588.3723,2560.6461,2575.8508,34077905,981431619,0.4885,0.5414,24.6038,-0.18682,0.08693
600887.SH,伊利股份,2025/6/10,2585.6891,2615.2041,2549.9134,2553.491,34526646,994929489,-0.8681,0.5486,24.3902,-0.53866,-0.010675
600887.SH,伊利股份,2025/6/11,2553.491,2566.0125,2543.6526,2543.6526,27677415,789620181,-0.3853,0.4397,24.2963,-0.6288,-0.01486
600887.SH,伊利股份,2025/6/12,2544.547,2547.2302,2513.2433,2523.0816,33492464,944123813,-0.8087,0.5321,24.0998,-0.53556,-0.08891
600887.SH,伊利股份,2025/6/13,2522.1872,2528.448,2486.4115,2504.2994,47937237,1342365832,-0.7444,0.7616,23.9204,-0.4636,-0.146165
